hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
070110,2015,1,0.01,0,4.6052
070110,2016,1,0.001,0,6.9078
070110,2017,1,0.001,0,6.9078
070110,2018,1,0.001,0,6.9078
070110,2019,1,0.001,0,6.9078
070110,2020,1,0.001,0,6.9078
070110,2021,1,0.001,0,6.9078
070110,2022,1,0.001,0,6.9078
070110,2023,1,0.001,0,6.9078
070190,2015,1,0.01,0,4.6052
070190,2016,1,0.001,0,6.9078
070190,2017,1,0.001,0,6.9078
070190,2018,1,0.001,0,6.9078
070190,2019,1,0.001,0,6.9078
070190,2020,1,0.001,0,6.9078
070190,2021,1,0.001,0,6.9078
070190,2022,1,0.001,0,6.9078
070190,2023,1,0.001,0,6.9078
070200,2015,1,0.01,0,4.6052
070200,2016,1,0.002,0,6.2146
070200,2017,1,0.002,0,6.2146
070200,2018,1,0.002,0,6.2146
070200,2019,1,0.002,0,6.2146
070200,2020,1,0.002,0,6.2146
070200,2021,1,0.002,0,6.2146
070200,2022,1,0.001,0,6.9078
070200,2023,1,0.001,0,6.9078
070310,2015,1,0.01,0,4.6052
070310,2016,1,0.002,0,6.2146
070310,2017,1,0.002,0,6.2146
070310,2018,1,0.002,0,6.2146
070310,2019,1,0.002,0,6.2146
070310,2020,1,0.002,0,6.2146
070310,2021,1,0.002,0,6.2146
070310,2022,1,0.001,0,6.9078
070310,2023,1,0.001,0,6.9078
070320,2015,1,0.01,0,4.6052
070320,2016,1,0.002,0,6.2146
070320,2017,1,0.002,0,6.2146
070320,2018,1,0.002,0,6.2146
070320,2019,1,0.002,0,6.2146
070320,2020,1,0.002,0,6.2146
070320,2021,1,0.002,0,6.2146
070320,2022,1,0.001,0,6.9078
070320,2023,1,0.001,0,6.9078
070410,2015,1,0.01,0,4.6052
070410,2016,1,0.002,0,6.2146
070410,2017,1,0.002,0,6.2146
070410,2018,1,0.002,0,6.2146
070410,2019,1,0.002,0,6.2146
070410,2020,1,0.002,0,6.2146
070410,2021,1,0.002,0,6.2146
070410,2022,1,0.001,0,6.9078
070410,2023,1,0.001,0,6.9078
070420,2015,1,0.01,0,4.6052
070420,2016,1,0.002,0,6.2146
070420,2017,1,0.002,0,6.2146
070420,2018,1,0.002,0,6.2146
070420,2019,1,0.002,0,6.2146
070420,2020,1,0.002,0,6.2146
070420,2021,1,0.002,0,6.2146
070420,2022,1,0.001,0,6.9078
070420,2023,1,0.001,0,6.9078
070511,2015,1,0.01,0,4.6052
070511,2016,1,0.002,0,6.2146
070511,2017,1,0.002,0,6.2146
070511,2018,1,0.002,0,6.2146
070511,2019,1,0.002,0,6.2146
070511,2020,1,0.002,0,6.2146
070511,2021,1,0.002,0,6.2146
070511,2022,1,0.001,0,6.9078
070511,2023,1,0.001,0,6.9078
070521,2015,1,0.01,0,4.6052
070521,2016,1,0.002,0,6.2146
070521,2017,1,0.002,0,6.2146
070521,2018,1,0.002,0,6.2146
070521,2019,1,0.002,0,6.2146
070521,2020,1,0.002,0,6.2146
070521,2021,1,0.002,0,6.2146
070521,2022,1,0.001,0,6.9078
070521,2023,1,0.001,0,6.9078
070529,2015,1,0.01,0,4.6052
070529,2016,1,0.001,0,6.9078
070529,2017,1,0.001,0,6.9078
070529,2018,1,0.001,0,6.9078
070529,2019,1,0.001,0,6.9078
070529,2020,1,0.001,0,6.9078
070529,2021,1,0.001,0,6.9078
070529,2022,1,0.001,0,6.9078
070529,2023,1,0.001,0,6.9078
070610,2015,1,0.01,0,4.6052
070610,2016,1,0.002,0,6.2146
070610,2017,1,0.002,0,6.2146
070610,2018,1,0.002,0,6.2146
070610,2019,1,0.002,0,6.2146
070610,2020,1,0.002,0,6.2146
070610,2021,1,0.002,0,6.2146
070610,2022,1,0.001,0,6.9078
070610,2023,1,0.001,0,6.9078
070690,2015,1,0.01,0,4.6052
070690,2016,1,0.002,0,6.2146
070690,2017,1,0.002,0,6.2146
070690,2018,1,0.002,0,6.2146
070690,2019,1,0.002,0,6.2146
070690,2020,1,0.002,0,6.2146
070690,2021,1,0.002,0,6.2146
070690,2022,1,0.001,0,6.9078
070690,2023,1,0.001,0,6.9078
070700,2015,1,0.01,0,4.6052
070700,2016,1,0.002,0,6.2146
070700,2017,1,0.002,0,6.2146
070700,2018,1,0.002,0,6.2146
070700,2019,1,0.002,0,6.2146
070700,2020,1,0.002,0,6.2146
070700,2021,1,0.002,0,6.2146
070700,2022,1,0.001,0,6.9078
070700,2023,1,0.001,0,6.9078
070810,2015,2,0.01,1,4.6052
070810,2016,2,0.005,1,5.2983
070810,2017,2,0.005,1,5.2983
070810,2018,2,0.005,1,5.2983
070810,2019,2,0.005,1,5.2983
070810,2020,2,0.005,1,5.2983
070810,2021,2,0.005,1,5.2983
070810,2022,2,0.001,1,6.9078
070810,2023,2,0.001,1,6.9078
070820,2015,1,0.01,0,4.6052
070820,2016,1,0.005,0,5.2983
070820,2017,1,0.005,0,5.2983
070820,2018,1,0.005,0,5.2983
070820,2019,1,0.005,0,5.2983
070820,2020,1,0.005,0,5.2983
070820,2021,1,0.005,0,5.2983
070820,2022,1,0.001,0,6.9078
070820,2023,1,0.001,0,6.9078
070920,2015,1,0.01,0,4.6052
070920,2016,1,0.002,0,6.2146
070920,2017,1,0.002,0,6.2146
070920,2018,1,0.002,0,6.2146
070920,2019,1,0.002,0,6.2146
070920,2020,1,0.002,0,6.2146
070920,2021,1,0.002,0,6.2146
070920,2022,1,0.001,0,6.9078
070920,2023,1,0.001,0,6.9078
070930,2015,1,0.01,0,4.6052
070930,2016,1,0.002,0,6.2146
070930,2017,1,0.002,0,6.2146
070930,2018,1,0.002,0,6.2146
070930,2019,1,0.002,0,6.2146
070930,2020,1,0.002,0,6.2146
070930,2021,1,0.002,0,6.2146
070930,2022,1,0.001,0,6.9078
070930,2023,1,0.001,0,6.9078
070940,2015,1,0.01,0,4.6052
070940,2016,1,0.002,0,6.2146
070940,2017,1,0.002,0,6.2146
070940,2018,1,0.002,0,6.2146
070940,2019,1,0.002,0,6.2146
070940,2020,1,0.002,0,6.2146
070940,2021,1,0.002,0,6.2146
070940,2022,1,0.001,0,6.9078
070940,2023,1,0.001,0,6.9078
070951,2015,1,0.01,0,4.6052
070951,2016,1,0.005,0,5.2983
070951,2017,1,0.005,0,5.2983
070951,2018,1,0.005,0,5.2983
070951,2019,1,0.005,0,5.2983
070951,2020,1,0.005,0,5.2983
070951,2021,1,0.005,0,5.2983
070951,2022,1,0.001,0,6.9078
070951,2023,1,0.001,0,6.9078
070959,2015,1,0.01,0,4.6052
070959,2016,1,0.005,0,5.2983
070959,2017,1,0.005,0,5.2983
070959,2018,1,0.005,0,5.2983
070959,2019,1,0.005,0,5.2983
070959,2020,1,0.005,0,5.2983
070959,2021,1,0.005,0,5.2983
070959,2022,1,0.001,0,6.9078
070959,2023,1,0.001,0,6.9078
070960,2015,1,0.01,0,4.6052
070960,2016,1,0.002,0,6.2146
070960,2017,1,0.002,0,6.2146
070960,2018,1,0.002,0,6.2146
070960,2019,1,0.002,0,6.2146
070960,2020,1,0.002,0,6.2146
070960,2021,1,0.002,0,6.2146
070960,2022,1,0.001,0,6.9078
070960,2023,1,0.001,0,6.9078
070970,2015,1,0.01,0,4.6052
070970,2016,1,0.005,0,5.2983
070970,2017,1,0.005,0,5.2983
070970,2018,1,0.005,0,5.2983
070970,2019,1,0.005,0,5.2983
070970,2020,1,0.005,0,5.2983
070970,2021,1,0.005,0,5.2983
070970,2022,1,0.001,0,6.9078
070970,2023,1,0.001,0,6.9078
070991,2015,1,0.01,0,4.6052
070991,2016,1,0.002,0,6.2146
070991,2017,1,0.002,0,6.2146
070991,2018,1,0.002,0,6.2146
070991,2019,1,0.002,0,6.2146
070991,2020,1,0.002,0,6.2146
070991,2021,1,0.002,0,6.2146
070991,2022,1,0.001,0,6.9078
070991,2023,1,0.001,0,6.9078
070992,2015,1,0.01,0,4.6052
070992,2016,1,0.003,0,5.8091
070992,2017,1,0.003,0,5.8091
070992,2018,1,0.003,0,5.8091
070992,2019,1,0.003,0,5.8091
070992,2020,1,0.003,0,5.8091
070992,2021,1,0.003,0,5.8091
070992,2022,1,0.003,0,5.8091
070992,2023,1,0.003,0,5.8091
070993,2015,1,0.01,0,4.6052
070993,2016,1,0.005,0,5.2983
070993,2017,1,0.005,0,5.2983
070993,2018,1,0.005,0,5.2983
070993,2019,1,0.005,0,5.2983
070993,2020,1,0.005,0,5.2983
070993,2021,1,0.005,0,5.2983
070993,2022,1,0.001,0,6.9078
070993,2023,1,0.001,0,6.9078
070999,2015,1,0.01,0,4.6052
070999,2016,1,0.002,0,6.2146
070999,2017,1,0.002,0,6.2146
070999,2018,1,0.001,0,6.9078
070999,2019,1,0.001,0,6.9078
070999,2020,1,0.001,0,6.9078
070999,2021,1,0.001,0,6.9078
070999,2022,1,0.001,0,6.9078
070999,2023,1,0.001,0,6.9078
071310,2015,1,0.01,0,4.6052
071310,2016,1,0.005,0,5.2983
071310,2017,1,0.005,0,5.2983
071310,2018,1,0.005,0,5.2983
071310,2019,1,0.005,0,5.2983
071310,2020,1,0.005,0,5.2983
071310,2021,1,0.005,0,5.2983
071310,2022,1,0.003,0,5.8091
071310,2023,1,0.003,0,5.8091
071333,2015,1,0.01,0,4.6052
071333,2016,1,0.005,0,5.2983
071333,2017,1,0.005,0,5.2983
071333,2018,1,0.005,0,5.2983
071333,2019,1,0.005,0,5.2983
071333,2020,1,0.005,0,5.2983
071333,2021,1,0.005,0,5.2983
071333,2022,1,0.003,0,5.8091
071333,2023,1,0.003,0,5.8091
071340,2015,1,0.01,0,4.6052
071340,2016,1,0.005,0,5.2983
071340,2017,1,0.005,0,5.2983
071340,2018,1,0.005,0,5.2983
071340,2019,1,0.005,0,5.2983
071340,2020,1,0.005,0,5.2983
071340,2021,1,0.005,0,5.2983
071340,2022,1,0.003,0,5.8091
071340,2023,1,0.003,0,5.8091
071410,2015,1,0.01,0,4.6052
071410,2016,1,0.002,0,6.2146
071410,2017,1,0.002,0,6.2146
071410,2018,1,0.002,0,6.2146
071410,2019,1,0.002,0,6.2146
071410,2020,1,0.002,0,6.2146
071410,2021,1,0.002,0,6.2146
071410,2022,1,0.001,0,6.9078
071410,2023,1,0.001,0,6.9078
071420,2015,1,0.01,0,4.6052
071420,2016,1,0.002,0,6.2146
071420,2017,1,0.002,0,6.2146
071420,2018,1,0.002,0,6.2146
071420,2019,1,0.002,0,6.2146
071420,2020,1,0.002,0,6.2146
071420,2021,1,0.002,0,6.2146
071420,2022,1,0.001,0,6.9078
071420,2023,1,0.001,0,6.9078
071430,2015,1,0.01,0,4.6052
071430,2016,1,0.002,0,6.2146
071430,2017,1,0.002,0,6.2146
071430,2018,1,0.002,0,6.2146
071430,2019,1,0.002,0,6.2146
071430,2020,1,0.002,0,6.2146
071430,2021,1,0.002,0,6.2146
071430,2022,1,0.001,0,6.9078
071430,2023,1,0.001,0,6.9078
071490,2015,1,0.01,0,4.6052
071490,2016,1,0.002,0,6.2146
071490,2017,1,0.002,0,6.2146
071490,2018,1,0.002,0,6.2146
071490,2019,1,0.002,0,6.2146
071490,2020,1,0.002,0,6.2146
071490,2021,1,0.002,0,6.2146
071490,2022,1,0.001,0,6.9078
071490,2023,1,0.001,0,6.9078
080111,2015,1,0.01,0,4.6052
080111,2016,1,0.01,0,4.6052
080111,2017,1,0.01,0,4.6052
080111,2018,1,0.01,0,4.6052
080111,2019,1,0.01,0,4.6052
080111,2020,1,0.01,0,4.6052
080111,2021,1,0.005,0,5.2983
080111,2022,1,0.005,0,5.2983
080111,2023,1,0.005,0,5.2983
080112,2015,1,0.01,0,4.6052
080112,2016,1,0.01,0,4.6052
080112,2017,1,0.01,0,4.6052
080112,2018,1,0.01,0,4.6052
080112,2019,1,0.01,0,4.6052
080112,2020,1,0.01,0,4.6052
080112,2021,1,0.005,0,5.2983
080112,2022,1,0.005,0,5.2983
080112,2023,1,0.005,0,5.2983
080119,2015,1,0.01,0,4.6052
080119,2016,1,0.01,0,4.6052
080119,2017,1,0.01,0,4.6052
080119,2018,1,0.01,0,4.6052
080119,2019,1,0.01,0,4.6052
080119,2020,1,0.01,0,4.6052
080119,2021,1,0.005,0,5.2983
080119,2022,1,0.005,0,5.2983
080119,2023,1,0.005,0,5.2983
080121,2015,1,0.01,0,4.6052
080121,2016,1,0.01,0,4.6052
080121,2017,1,0.01,0,4.6052
080121,2018,1,0.01,0,4.6052
080121,2019,1,0.01,0,4.6052
080121,2020,1,0.01,0,4.6052
080121,2021,1,0.005,0,5.2983
080121,2022,1,0.005,0,5.2983
080121,2023,1,0.005,0,5.2983
080122,2015,1,0.01,0,4.6052
080122,2016,1,0.01,0,4.6052
080122,2017,1,0.01,0,4.6052
080122,2018,1,0.01,0,4.6052
080122,2019,1,0.01,0,4.6052
080122,2020,1,0.01,0,4.6052
080122,2021,1,0.005,0,5.2983
080122,2022,1,0.005,0,5.2983
080122,2023,1,0.005,0,5.2983
080131,2015,1,0.01,0,4.6052
080131,2016,1,0.01,0,4.6052
080131,2017,1,0.01,0,4.6052
080131,2018,1,0.01,0,4.6052
080131,2019,1,0.01,0,4.6052
080131,2020,1,0.01,0,4.6052
080131,2021,1,0.005,0,5.2983
080131,2022,1,0.005,0,5.2983
080131,2023,1,0.005,0,5.2983
080132,2015,1,0.01,0,4.6052
080132,2016,1,0.01,0,4.6052
080132,2017,1,0.01,0,4.6052
080132,2018,1,0.01,0,4.6052
080132,2019,1,0.01,0,4.6052
080132,2020,1,0.01,0,4.6052
080132,2021,1,0.005,0,5.2983
080132,2022,1,0.005,0,5.2983
080132,2023,1,0.005,0,5.2983
080211,2015,1,0.01,0,4.6052
080211,2016,1,0.01,0,4.6052
080211,2017,1,0.01,0,4.6052
080211,2018,1,0.01,0,4.6052
080211,2019,1,0.01,0,4.6052
080211,2020,1,0.01,0,4.6052
080211,2021,1,0.005,0,5.2983
080211,2022,1,0.005,0,5.2983
080211,2023,1,0.005,0,5.2983
080212,2015,1,0.01,0,4.6052
080212,2016,1,0.01,0,4.6052
080212,2017,1,0.01,0,4.6052
080212,2018,1,0.01,0,4.6052
080212,2019,1,0.01,0,4.6052
080212,2020,1,0.01,0,4.6052
080212,2021,1,0.005,0,5.2983
080212,2022,1,0.005,0,5.2983
080212,2023,1,0.005,0,5.2983
080221,2015,1,0.01,0,4.6052
080221,2016,1,0.01,0,4.6052
080221,2017,1,0.01,0,4.6052
080221,2018,1,0.01,0,4.6052
080221,2019,1,0.01,0,4.6052
080221,2020,1,0.01,0,4.6052
080221,2021,1,0.005,0,5.2983
080221,2022,1,0.005,0,5.2983
080221,2023,1,0.005,0,5.2983
080222,2015,1,0.01,0,4.6052
080222,2016,1,0.01,0,4.6052
080222,2017,1,0.01,0,4.6052
080222,2018,1,0.01,0,4.6052
080222,2019,1,0.01,0,4.6052
080222,2020,1,0.01,0,4.6052
080222,2021,1,0.005,0,5.2983
080222,2022,1,0.005,0,5.2983
080222,2023,1,0.005,0,5.2983
080231,2015,1,0.01,0,4.6052
080231,2016,1,0.01,0,4.6052
080231,2017,1,0.01,0,4.6052
080231,2018,1,0.01,0,4.6052
080231,2019,1,0.01,0,4.6052
080231,2020,1,0.01,0,4.6052
080231,2021,1,0.005,0,5.2983
080231,2022,1,0.005,0,5.2983
080231,2023,1,0.005,0,5.2983
080232,2015,1,0.01,0,4.6052
080232,2016,1,0.01,0,4.6052
080232,2017,1,0.01,0,4.6052
080232,2018,1,0.01,0,4.6052
080232,2019,1,0.01,0,4.6052
080232,2020,1,0.01,0,4.6052
080232,2021,1,0.005,0,5.2983
080232,2022,1,0.005,0,5.2983
080232,2023,1,0.005,0,5.2983
080241,2015,1,0.01,0,4.6052
080241,2016,1,0.01,0,4.6052
080241,2017,1,0.01,0,4.6052
080241,2018,1,0.01,0,4.6052
080241,2019,1,0.01,0,4.6052
080241,2020,1,0.01,0,4.6052
080241,2021,1,0.005,0,5.2983
080241,2022,1,0.005,0,5.2983
080241,2023,1,0.005,0,5.2983
080242,2015,1,0.01,0,4.6052
080242,2016,1,0.01,0,4.6052
080242,2017,1,0.01,0,4.6052
080242,2018,1,0.01,0,4.6052
080242,2019,1,0.01,0,4.6052
080242,2020,1,0.01,0,4.6052
080242,2021,1,0.005,0,5.2983
080242,2022,1,0.005,0,5.2983
080242,2023,1,0.005,0,5.2983
080251,2015,1,0.01,0,4.6052
080251,2016,1,0.01,0,4.6052
080251,2017,1,0.01,0,4.6052
080251,2018,1,0.01,0,4.6052
080251,2019,1,0.01,0,4.6052
080251,2020,1,0.01,0,4.6052
080251,2021,1,0.005,0,5.2983
080251,2022,1,0.005,0,5.2983
080251,2023,1,0.005,0,5.2983
080252,2015,1,0.01,0,4.6052
080252,2016,1,0.01,0,4.6052
080252,2017,1,0.01,0,4.6052
080252,2018,1,0.01,0,4.6052
080252,2019,1,0.01,0,4.6052
080252,2020,1,0.01,0,4.6052
080252,2021,1,0.005,0,5.2983
080252,2022,1,0.005,0,5.2983
080252,2023,1,0.005,0,5.2983
080261,2015,1,0.01,0,4.6052
080261,2016,1,0.01,0,4.6052
080261,2017,1,0.01,0,4.6052
080261,2018,1,0.01,0,4.6052
080261,2019,1,0.01,0,4.6052
080261,2020,1,0.01,0,4.6052
080261,2021,1,0.005,0,5.2983
080261,2022,1,0.005,0,5.2983
080261,2023,1,0.005,0,5.2983
080262,2015,1,0.01,0,4.6052
080262,2016,1,0.01,0,4.6052
080262,2017,1,0.01,0,4.6052
080262,2018,1,0.01,0,4.6052
080262,2019,1,0.01,0,4.6052
080262,2020,1,0.01,0,4.6052
