parent_code,group_name,sub_code,product_name,scientific_name
0256080,Basil and edible flowers,0256080-002,Asiatic pennywort,Centella asiatica
0256080,Basil and edible flowers,0256080-003,Bergamot mint/eau-de-Cologne mint,Mentha ×piperita nm. citrata
0256080,Basil and edible flowers,0256080-004,Corsican mint,Mentha requienii
0256080,Basil and edible flowers,0256080-005,Courgette (edible flowers),Cucurbita pepo Zucchini Group
0256080,Basil and edible flowers,0256080-006,Gingermint,Mentha ×gracilis
0256080,Basil and edible flowers,0256080-007,Greek bush basil,Ocimum basilicum var. minimum
0256080,Basil and edible flowers,0256080-008,Hoary basil,Ocimum americanum
0256080,Basil and edible flowers,0256080-009,Holy basil/tulsi,Ocimum tenuiflorum
0256080,Basil and edible flowers,0256080-010,Lemon balm,Melissa officinalis
0256080,Basil and edible flowers,0256080-011,Lemon basil,Ocimum ×citriodorum
0256080,Basil and edible flowers,0256080-012,Lesser calamint,Calamintha nepeta ; syn: Clinopodium nepeta
0256080,Basil and edible flowers,0256080-013,Lizard tail/dap ca,Houttuynia cordata
0256080,Basil and edible flowers,0256080-014,Marigold (edible flowers),Tagetes minuta
0256080,Basil and edible flowers,0256080-015,,Tagetes tenuifolia
0256080,Basil and edible flowers,0256080-016,,"Other species of the genus Tagetes , not elsewhere mentioned"
0256080,Basil and edible flowers,0256080-017,Nasturtium (leaves and edible flowers),Tropaeolum majus
0256080,Basil and edible flowers,0256080-018,,Tropaeolum minus
0256080,Basil and edible flowers,0256080-019,Pennyroyal,Mentha pulegium
0256080,Basil and edible flowers,0256080-020,Peppermint,Mentha ×piperita
0256080,Basil and edible flowers,0256080-021,Pot marigold (edible flowers),Calendula officinalis
0256080,Basil and edible flowers,0256080-022,Rice paddy herb/phak ka yaeng,Limnophila aromatica
0256080,Basil and edible flowers,0256080-023,Spearmint,Mentha spicata ; syn: Mentha viridis
0256080,Basil and edible flowers,0256080-024,Thai basil,Ocimum basilicum var. thyrsiflorum
0256080,Basil and edible flowers,0256080-025,Vietnamese mint,Persicaria odorata
0256080,Basil and edible flowers,0256080-026,Water mint,Mentha aquatica
0256080,Basil and edible flowers,0256080-990,Other edible flowers,
0256080,Basil and edible flowers,0256080-991,,"Other species and hybrids of genus Mentha , not elsewhere mentioned"
0256090,Laurel/bay leaves,,,Laurus nobilis
0256090,Laurel/bay leaves,0256090-001,Curry leaves,Murraya koeningii ; syn: Bergera koenigi
0256090,Laurel/bay leaves,0256090-002,Kaffir lime leaves,Citrus hystrix
0256090,Laurel/bay leaves,0256090-003,Siamese cassia,Senna siamea
0256090,Laurel/bay leaves,0256090-004,Wild betel leaves,Piper sarmentosum
0256090,Laurel/bay leaves,0256090-005,Pandan leaves,Pandanus amaryllifolius
0256100,Tarragon,,,Artemisia dracunculus
0256100,Tarragon,0256100-001,Aztec sweet herb,Lippia dulcis ; syn: Phyla dulcis
0256100,Tarragon,0256100-002,Epazote/Mexican tea/wormseed,Dysphania ambrosioides
0256100,Tarragon,0256100-003,Hyssop,Hyssopus officinalis
0256100,Tarragon,0256100-004,Lemongrass,Cymbopogon citratus
0256100,Tarragon,0256100-005,Mexican oregano,Lippia graveolens
0256100,Tarragon,0256100-006,Nettle,Urtica dioica
0256100,Tarragon,0256100-007,,"Other species of the genus Urtica , not elsewhere mentioned"
0256100,Tarragon,0256100-008,Russian tarragon,Artemisia dracunculoides
0256100,Tarragon,0256100-009,Stevia,Stevia rebaudiana
0256990,Others ( 2 ),,,
0260000,Legume vegetables,,,
0260010,Beans (with pods),,,Phaseolus vulgaris
0260010,Beans (with pods),0260010-001,Azuki beans,Vigna angularis
0260010,Beans (with pods),0260010-002,Black eyed peas/cowpeas,Vigna unguiculata var. unguiculata
0260010,Beans (with pods),0260010-003,Broad beans/fava beans/horse beans/tic beans,Vicia faba (any subspp. and var.)
0260010,Beans (with pods),0260010-004,Borlotti beans/cannelini beans/common beans/flageolets/French beans/slicing beans/snap beans,Phaseolus vulgaris (any subspp. and var.)
0260010,Beans (with pods),0260010-005,Ervils/lentil vetches,Vicia ervilia ; syn: Ervum ervilia
0260010,Beans (with pods),0260010-006,Guar beans,Cyamopsis tetragonoloba
0260010,Beans (with pods),0260010-007,Jack beans,Canavalia ensiformis
0260010,Beans (with pods),0260010-008,Lablab beans/hyacinth beans,Lablab purpureus
0260010,Beans (with pods),0260010-009,Lima beans/butter beans,Phaseolus lunatus var. lunatus
0260010,Beans (with pods),0260010-010,Monantha vetches,Vicia monanthos
0260010,Beans (with pods),0260010-011,Mung beans,Vigna radiata
0260010,Beans (with pods),0260010-012,Rice beans,Vigna umbellata
0260010,Beans (with pods),0260010-013,Runner beans/scarlet runner beans,Phaseolus coccineus
0260010,Beans (with pods),0260010-014,Soyabeans/edamame,Glycine max
0260010,Beans (with pods),0260010-015,Stink beans,Parkia speciosa
0260010,Beans (with pods),0260010-016,Vetches,Vicia sativa var. sativa
0260010,Beans (with pods),0260010-017,Yardlong beans,Vigna unguiculata var. sesquipedalis
0260020,Beans (without pods),,,Phaseolus vulgaris
0260020,Beans (without pods),0260020-001,,
0260030,Peas (with pods),,,Pisum sativum
0260030,Peas (with pods),0260030-001,Asparagus peas,Tetragonolobus purpureus
0260030,Peas (with pods),0260030-002,Chickling vetches,Lathyrus sativus
0260030,Peas (with pods),0260030-003,Chickpeas/Bengal gram,Cicer arietinum subsp. arietinum
0260030,Peas (with pods),0260030-004,Garden peas/green peas/mangetout/snow peas/split peas/sugar peas,Pisum sativum (any subspp. and var.)
0260030,Peas (with pods),0260030-005,Moringa/drumstick tree pods,Moringa oleifera ; syn: Moringa pterygosperma
0260030,Peas (with pods),0260030-006,Pigeon peas,Cajanus cajan
0260040,Peas (without pods),,,Pisum sativum
0260040,Peas (without pods),0260040-001,,
0260050,Lentils,,,Lens culinaris ; syn: Lens esculenta
0260050,Lentils,0260050-001,Lupins/lupini beans,Lupinus albus subsp. albus
0260050,Lentils,0260050-002,,Lupinus angustifolius
0260050,Lentils,0260050-003,,Lupinus luteus
0260050,Lentils,0260050-004,,Lupinus mutabilis
0260990,Others ( 2 ),,,
0270000,Stem vegetables,,,
0270010,Asparagus,,,Asparagus officinalis
0270010,Asparagus,0270010-001,Hop sprouts,Humulus lupulus
0270020,Cardoons,,,Cynara cardunculus Cardoon group
0270020,Cardoons,0270020-001,Borage stems,Borago officinalis
0270030,Celeries,,,Apium graveolens var. dulce
0270040,Florence fennels,,,Foeniculum vulgare var. azoricum
0270050,Globe artichokes,,,Cynara cardunculus Globe artichoke group
0270050,Globe artichokes,0270050-001,Banana flowers,Musa acuminata; Musa balbisiana; hybrids Musa acuminata x Musa balbisiana
0270060,Leeks,,,Allium ampeloprasumampeloprasum Pearl-Onion Group; syn: Allium porrum var. sectivum
0270060,Leeks,0270060-001,Kurrat/Egyptian leek,Allium kurrat ; syn: Allium ampeloprasum ampeloprasum var. kurrat
0270070,Rhubarbs,,,Rheum rhabarbarum
0270080,Bamboo shoots,,,Bambusa vulgaris; Phyllostachys edulis
0270080,Bamboo shoots,0270080-001,European bamboo /Japanese knotweed,Fallopia japonica
0270090,Palm hearts,,,Bactris gasipaes; Cocos nucifera; Daemonorops jenkinsiana; Euterpe edulis; Euterpe oleracea
0270990,Others ( 2 ),,,
0280000,"Fungi, mosses and lichens",,,
0280010,Cultivated fungi,,,
0280010,Cultivated fungi,0280010-001,Common mushrooms/button mushrooms/champignons mushrooms,Agaricus bisporus
0280010,Cultivated fungi,0280010-002,Corn smuts/ Mexican truffles,Ustilago maydis
0280010,Cultivated fungi,0280010-003,Enokitake/winter mushrooms,Flammulina velutipes
0280010,Cultivated fungi,0280010-004,Fusarium venenatum,Fusarium venenatum
0280010,Cultivated fungi,0280010-005,Horse mushrooms,Agaricus arvensis
0280010,Cultivated fungi,0280010-006,Jew's ears/hirneola,Auricularia auricula-judae
0280010,Cultivated fungi,0280010-007,Nameko,Pholiota nameko
0280010,Cultivated fungi,0280010-008,Oyster mushrooms,Pleurotus ostreatus
0280010,Cultivated fungi,0280010-009,Paddy straw mushroom,Volvariella volvacea
0280010,Cultivated fungi,0280010-010,Pom-pom blancs/lion's mane mushrooms/monkeyhead mushrooms,Hericium erinaceus
0280010,Cultivated fungi,0280010-011,Shiitake,Lentinula edodes
0280010,Cultivated fungi,0280010-012,Shimeji/bunashimeji/beach mushrooms,Hypsizygus tessulatus ; syn: Hypsizygus marmoreus
0280010,Cultivated fungi,0280010-013,Snow mushrooms/white jelly mushrooms,Tremella fuciformis
0280010,Cultivated fungi,0280010-014,Wood blewits/pied bleus,Clytocibe nuda ; syn: Lepista nuda
0280010,Cultivated fungi,0280010-990,Other cultivated fungi,
0280010,Cultivated fungi,0280010-991,,"Other species of genus Pleurotus , not elsewhere mentioned"
0280020,Wild fungi,,,
0280020,Wild fungi,0280020-001,Ceps/porcino mushrooms,Boletus edulis
0280020,Wild fungi,0280020-002,Chanterelles,Cantharellus spp.
0280020,Wild fungi,0280020-003,Hedgehog mushrooms,Hydnum repandum
0280020,Wild fungi,0280020-004,Horns of plenty/black trumpets,Craterellus cornucopioides
0280020,Wild fungi,0280020-005,Morels,Morchella spp.
0280020,Wild fungi,0280020-006,Périgord black truffles,Tuber melanosporum
0280020,Wild fungi,0280020-007,Piemont white truffles,Tuber magnatum
0280020,Wild fungi,0280020-008,Saint George's mushrooms,Calocybe gambosa
0280020,Wild fungi,0280020-009,Scotch bonnet mushrooms,Marasmius oreades
0280020,Wild fungi,0280020-010,Summer truffles,Tuber aestivum ; syn: Tuber uncinatum
0280020,Wild fungi,0280020-990,Other wild fungi,
0280020,Wild fungi,0280020-991,,"Other species of genus Tuber , not elsewhere mentioned"
0280990,Mosses and lichens,,,
0280990,Mosses and lichens,0280990-001,Icelandic mosses,Cetraria islandica
0280990,Mosses and lichens,0280990-990,Other mosses and lichens,
0290000,Algae and prokaryotes organisms,,,
0290000,Algae and prokaryotes organisms,0290000-001,Carrageen mosses/Irish mosses,Chondrus crispus
0290000,Algae and prokaryotes organisms,0290000-002,Kombu,Saccharina japonica
0290000,Algae and prokaryotes organisms,0290000-003,Spirulina,Arthrospira maxima
0290000,Algae and prokaryotes organisms,0290000-004,,Arthrospira platensis
0290000,Algae and prokaryotes organisms,0290000-005,Rockweed /knotted kelp,Ascophyllum nodosum
0290000,Algae and prokaryotes organisms,0290000-990,Other algae,
0290000,Algae and prokaryotes organisms,0290000-991,Other procaryotes organisms,
0300000,PULSES,,,
0300010,Beans,,,Phaseolus vulgaris
0300010,Beans,0300010-001,,
0300020,Lentils,,,Lens culinaris ; syn: Lens esculenta
0300030,Peas,,,Pisum sativum
0300030,Peas,0300030-001,,
0300040,Lupins/lupini beans,,,Lupinus albus subsp. albus; Lupinus angustifolius; Lupinus luteus; Lupinus mutabilis
0300990,Others ( 2 ),,,
0400000,OILSEEDS AND OIL FRUITS,,,
0401000,Oilseeds,,,
0401010,Linseeds,,,Linum usitatissimum
0401020,Peanuts/groundnuts,,,Arachis hypogaea
0401030,Poppy seeds,,,Papaver somniferum subsp. somniferum
0401040,Sesame seeds,,,Sesamum indicum
0401050,Sunflower seeds,,,Helianthus annuus
0401060,Rapeseeds/canola seeds,,,Brassica napus subsp. napus
0401060,Rapeseeds/canola seeds,0401060-001,Radish seeds,Raphanus sativus convar. oleifer
0401060,Rapeseeds/canola seeds,0401060-002,Turnip rape seeds,Brassica rapa subsp. oleifera
0401070,Soyabeans,,,Glycine max
0401070,Soyabeans,0401070-001,Moringa/drumstick tree seeds,Moringa oleifera ; syn: Moringa pterygosperma
0401080,Mustard seeds,,,Brassica juncea; Brassica nigra; Sinapis alba
0401090,Cotton seeds,,,Gossypium barbadense; Gossypium herbaceum
0401100,Pumpkin seeds,,,Cucurbita pepo Styrian Hulless Group
0401100,Pumpkin seeds,0401100-001,Watermelon seeds,Citrullus vulgaris ; syn: Citrullus lanatus
0401100,Pumpkin seeds,0401100-990,,"Other seeds of species of familia Cucurbitaceae , not elsewhere mentioned"
0401110,Safflower seeds,,,Carthamus tinctorius
0401110,Safflower seeds,0401110-001,Milk thistle seeds,Silybum marianum
0401110,Safflower seeds,0401110-002,Niger seeds,Guizotia abyssinica
0401120,Borage seeds,,,Borago officinalis
0401120,Borage seeds,0401120-001,Corn gromwell seeds,Buglossoides arvensis ; syn: Lithospermum arvense
0401120,Borage seeds,0401120-002,Evening primrose seeds,Oenothera biennis
0401120,Borage seeds,0401120-003,Honesty seeds,Lunaria annua
0401120,Borage seeds,0401120-004,,Lunaria rediviva
0401120,Borage seeds,0401120-005,Perilla seeds,Perilla frutescens
0401120,Borage seeds,0401120-006,Purple viper's bugloss seeds,Echium plantagineum
0401130,Gold of pleasure seeds,,,Camelina sativa
0401140,Hemp seeds,,,Cannabis sativa subsp. sativa; Cannabis sativa subsp. spontanea
0401150,Castor beans,,,Ricinus communis
0401150,Castor beans,0401150-001,Grape seeds,Vitis vinifera
0401150,Castor beans,0401150-002,Sea buckthorn/sallow thorn seeds,Hippophaë rhamnoides
0401990,Others ( 2 ),,,
0402000,Oil fruits,,,
0402010,Olives for oil production,,,Olea europaea var. europaea
0402020,Oil palms kernels,,,Attalea maripa; Elaeis guineensis; Elaeis oleifera
0402020,Oil palms kernels,0402020-001,Argan nuts,Argania spinosa
0402020,Oil palms kernels,0402020-002,Babassu palm nuts,Attalea speciosa ; syn: Orbignya phalerata
0402020,Oil palms kernels,0402020-003,Jojoba nuts,Simmondsia chinensis
0402020,Oil palms kernels,0402020-004,Shea nuts,Vitellaria paradoxa
0402030,Oil palms fruits,,,Attalea maripa; Elaeis guineensis; Elaeis oleifera
0402040,Kapok,,,Ceiba pentandra
0402990,Others ( 2 ),,,
0500000,CEREALS,,,
0500010,Barley,,,Hordeum vulgare
0500020,Buckwheat and other pseudocereals,,,Fagopyrum esculentum
0500020,Buckwheat and other pseudocereals,0500020-001,Amaranth/kiwicha,Amaranthus caudatus
0500020,Buckwheat and other pseudocereals,0500020-002,,Amaranthus cruentus
0500020,Buckwheat and other pseudocereals,0500020-003,,Amaranthus hypochondriacus
0500020,Buckwheat and other pseudocereals,0500020-004,Kaniwa/canihua,Chenopodium pallidicaule
0500020,Buckwheat and other pseudocereals,0500020-005,Quinoa,Chenopodium quinoa
0500020,Buckwheat and other pseudocereals,0500020-006,Chia seeds,Salvia hispanica
0500030,Maize/corn,,,Zea mays
0500030,Maize/corn,0500030-001,Indian corn/flint corn,Zea mays var. indurata
0500040,Common millet/proso millet,,,Panicum miliaceum
0500040,Common millet/proso millet,0500040-001,Black fonio,Digitaria iburua
0500040,Common millet/proso millet,0500040-002,Canary grass,Phalaris canariensis
0500040,Common millet/proso millet,0500040-003,Finger millet/African millet/koracan,Eleusine coracana subsp. coracana
0500040,Common millet/proso millet,0500040-004,Foxtail millet,Setaria italica
0500040,Common millet/proso millet,0500040-005,Job's tears,Coix lacryma-jobi
0500040,Common millet/proso millet,0500040-006,Little millet,Panicum sumatrense
0500040,Common millet/proso millet,0500040-007,Pearl millet,Pennisetum glaucum
0500040,Common millet/proso millet,0500040-008,Teff/tef,Eragrostis tef
0500040,Common millet/proso millet,0500040-009,White fonio,Digitaria exilis
0500050,Oat,,,Avena sativa
0500060,Rice,,,Oryza sativa
0500060,Rice,0500060-001,African rice,Oryza glaberrima
0500060,Rice,0500060-002,Hybrid Nerica®,Oryza sativa x oryza glaberrima
0500060,Rice,0500060-003,Indian rice/wild rice,Zizania aquatica
0500070,Rye,,,Secale cereale
0500080,Sorghum,,,Sorghum bicolor
0500080,Sorghum,0500080-001,Durra/jowari/milo,Sorghum bicolor
0500080,Sorghum,0500080-002,Sudan grass,Sorghum × drummondii
0500080,Sorghum,0500080-990,,"Other species of genus Sorghum , not elsewhere mentioned"
0500090,Wheat,,,Triticum aestivum
0500090,Wheat,0500090-001,Durum wheat,Triticum turgidum subsp. durum ; syn: Triticum durum
0500090,Wheat,0500090-002,Einkorn wheat/small spelt/one-grain wheat,Triticum monococcum subsp. monococcum
0500090,Wheat,0500090-003,Emmer wheat,Triticum turgidum subsp. dicoccon ; syn: Triticum dicoccum
0500090,Wheat,0500090-004,Khorasan wheat,Triticum turgidum subsp. turanicum
0500090,Wheat,0500090-005,Spelt,Triticum aestivum subsp. spelta ; syn: Triticum spelta
0500090,Wheat,0500090-006,Triticale,×Triticosecale
0500090,Wheat,0500090-007,Tritordeum,×Tritordeum
0500090,Wheat,0500090-990,,"Other species of genus Triticum , not elsewhere mentioned"
0500990,Others ( 2 ),,,
0600000,"TEAS, COFFEE, HERBAL INFUSIONS, COCOA AND CAROBS",,,
0610000,Teas,,,Camellia sinensis
0620000,Coffee beans,,,Coffea arabica; Coffea canephora ; syn: Coffea robusta; Coffea liberica
0630000,Herbal infusions from,,,
0631000,Flowers after removal of stalks and decayed parts (except Chamomile),,,
0631010,Chamomile,,,Chamaemelum nobile ; syn: Anthemis nobilis; Matricaria recutita ; syn: Matricaria chamomilla
0631020,Hibiscus/roselle,,,Hibiscus sabdariffa
0631030,Rose,,,Rosa spp.
0631030,Rose,0631030-001,Almond,Amygdalus communis ; syn: Prunus dulcis
0631030,Rose,0631030-002,Bee balm,Monarda didyma
0631030,Rose,0631030-003,Bitter orange/sour orange,Citrus aurantium
0631030,Rose,0631030-004,Black locust,Robinia pseudoacacia
0631030,Rose,0631030-005,Cat's foot,Antennaria dioica
0631030,Rose,0631030-006,Chrysanthemum,Chrysanthemum morifolium
0631030,Rose,0631030-007,Cinnamon,Cinnamomum spp.
0631030,Rose,0631030-008,Clary sage,Salvia sclarea
0631030,Rose,0631030-009,Cornflower,Centaurea cyanus
0631030,Rose,0631030-010,Cowslip/primrose,Primula veris
0631030,Rose,0631030-011,Daisy,Bellis perennis
0631030,Rose,0631030-012,Dyer's broom,Genista tinctoria
0631030,Rose,0631030-013,Elder,Sambucus nigra
0631030,Rose,0631030-014,Field poppy,Papaver rhoeas
0631030,Rose,0631030-015,Great mullein,Verbascum thapsus
0631030,Rose,0631030-016,Hawthorn,Crataegus spp.
0631030,Rose,0631030-017,Heather,Calluna vulgaris
0631030,Rose,0631030-018,Hollyhock,Alcea rosea ; syn: Althaea rosea
0631030,Rose,0631030-019,Horse-chestnut,Aesculus hippocastanum
0631030,Rose,0631030-020,Larkspur,Consolida regalis ; syn: Delphinium consolida
0631030,Rose,0631030-021,Lavender,Lavandula angustifolia ; syn: Lavandula officinalis
0631030,Rose,0631030-022,Mallow,Malva sylvestris
0631030,Rose,0631030-023,Meadow sweet,Filipendula ulmaria
0631030,Rose,0631030-024,Mullein,Verbascum spp.
0631030,Rose,0631030-025,Orange,Citrus sinensis
0631030,Rose,0631030-026,Peony,Paeonia officinalis
0631030,Rose,0631030-027,Red clover,Trifolium pratense
0631030,Rose,0631030-028,Sacred lotus,Nelumbo nucifera
0631030,Rose,0631030-029,Safflower,Carthamus tinctorius
0631030,Rose,0631030-030,Sandy everlasting,Helichrysum arenarium
0631030,Rose,0631030-031,St. John's wort,Hypericum perforatum
0631030,Rose,0631030-032,Sunflower,Helianthus annuus
0631030,Rose,0631030-033,Sweet olive/sweet osmanthus,Osmanthus fragrans
0631030,Rose,0631030-034,Sweet violet,Viola odorata
0631030,Rose,0631030-035,White deadnettle,Lamium album
0631030,Rose,0631030-036,Yarrow,Achillea millefolium
0631030,Rose,0631030-037,Ylang-ylang,Cananga odorata
0631040,Jasmine,,,Jasminum officinale; Jasminum sambac
0631050,Lime/linden,,,Tilia cordata; Tilia platyphyllos; Tilia tomentosa ; syn: Tilia argentea
0631990,Others ( 2 ),,,
0632000,"Leaves and aerial green parts, after removal of decayed leaves",,,
0632010,Strawberry,,,Fragaria x ananassa
0632010,Strawberry,0632010-001,Absinth/common wormwood,Artemisia absinthium
0632010,Strawberry,0632010-002,Agrimony,Agrimonia eupatoria
0632010,Strawberry,0632010-003,Alfalfa/lucerne,Medicago sativa
0632010,Strawberry,0632010-004,Aloe (leaf gel),Aloë barbadensis ; syn: Aloë vera
0632010,Strawberry,0632010-005,Alpine ladies mantle,Alchemilla alpina
0632010,Strawberry,0632010-006,Bearberry,Arctostaphylos uva-ursi
0632010,Strawberry,0632010-007,Bilberry/European blueberry/whortleberry,Vaccinium myrtillus
0632010,Strawberry,0632010-008,Birch,Betula pendula
0632010,Strawberry,0632010-009,Bitter orange/sour orange,Citrus aurantium
0632010,Strawberry,0632010-010,Blackberry,Rubus sect. Rubus
0632010,Strawberry,0632010-011,Boldo,Peumus boldus
0632010,Strawberry,0632010-012,Buchu,Barosma betulina ; syn: Agathosma betulina
0632010,Strawberry,0632010-013,Buckwheat,Fagopyrum esculentum
0632010,Strawberry,0632010-014,Catmint,Nepeta cataria
0632010,Strawberry,0632010-015,Centaury,Centaurium erythraea
0632010,Strawberry,0632010-016,Chiretta,Swertia chirata
0632010,Strawberry,0632010-017,Clary sage,Salvia sclarea
0632010,Strawberry,0632010-018,Clubmoss,Lycopodium clavatum
0632010,Strawberry,0632010-019,Common speedwell,Veronica officinalis
0632010,Strawberry,0632010-020,Common vervain/common verbena,Verbena officinalis
0632010,Strawberry,0632010-021,Cornflower,Centaurea cyanus
0632010,Strawberry,0632010-022,Cowberry,Vaccinium vitis-idaea
0632010,Strawberry,0632010-023,"Currant (black, red and white)",Ribes nigrum
0632010,Strawberry,0632010-024,,Ribes rubrum
0632010,Strawberry,0632010-025,Damiana,Turnera diffusa
0632010,Strawberry,0632010-026,Downy hemp nettle,Galeopsis segetum
0632010,Strawberry,0632010-027,Echinacea,Echinacea angustifolia
0632010,Strawberry,0632010-028,,Echinacea pallida
0632010,Strawberry,0632010-029,,Echinacea purpurea
0632010,Strawberry,0632010-030,Elder,Sambucus nigra
0632010,Strawberry,0632010-031,Eucalyptus,Eucalyptus globulus
